Item,URL,Quantity,Price Per Unit,Total Price,Vendor
Orange pi 5B max 8GB,"https://www.aliexpress.com/item/1005007870048287.html?algo_pvid=2bbec500-32ca-4434-be2c-1ce5b767aa86&algo_exp_id=2bbec500-32ca-4434-be2c-1ce5b767aa86-0&pdp_ext_f=%7B%22order%22:%22134%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!EUR!133.76!133.69!!!153.36!153.28!@212e532617519581820681306ecb57!12000042628234779!sea!FR!3531018041!X&curPageLogUid=R5zpyCH1Ma7o&utparam-url=scene:search%7Cquery_from:",1,18632,18632,Aliexpress
5.5” OLED Full HD screen (option: Full set),https://ja.aliexpress.com/item/1005004285318699.html?src=google&pdp_npi=4@dis!JPY!5882!4526!!!!!@!12000028649670923!ppc!!!&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&&albagn=888888&&ds_e_adid=748703396344&ds_e_matchtype=search&ds_e_device=c&ds_e_network=g&ds_e_product_group_id=295990060787&ds_e_product_id=ja1005004285318699&ds_e_product_merchant_id=107862625&ds_e_product_country=JP&ds_e_product_language=ja&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22485969970&albag=182138631081&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=22485969970&gbraid=0AAAAA99aYpfFBMLwOHTtdOV638NsIWtEP,1,10537,10537,Aliexpress
Orange pi camera 80-FF-200mm,https://www.aliexpress.com/item/1005009077854077.html?spm=a2g0o.productlist.main.1.56a14TzS4TzSjA&algo_pvid=2c286680-85d5-47fd-83da-f051baeb342f&algo_exp_id=2c286680-85d5-47fd-83da-f051baeb342f-0&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%2118.99%2118.99%21%21%2121.77%2121.77%21%40212e508f17519578736841364eeb5d%2112000047837053133%21sea%21FR%213531018041%21X&curPageLogUid=xYhwbTm10lji&utparam-url=scene%3Asearch%7Cquery_from%3A,1,3431,3431,Aliexpress
Polyurethane resin 500ml,"https://ja.aliexpress.com/item/1005007086008107.html?algo_pvid=7a0ac091-c1c3-4eb1-ba58-10009f36ac54&algo_exp_id=7a0ac091-c1c3-4eb1-ba58-10009f36ac54-0&pdp_ext_f=%7B%22order%22:%2216%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!12007!4083!!!576.36!195.96!@212e520f17523917894064105ee413!12000039848871725!sea!JP!3531018041!X&curPageLogUid=lirHZt6aGnGI&utparam-url=scene:search%7Cquery_from:",1,2599,2599,Aliexpress
2x 3007 Blower 5V 1W (option 5V- xh2.54),"https://ja.aliexpress.com/item/1005003167479036.html?algo_pvid=39bf3071-eca6-47a1-a6ed-4aaa61da980b&algo_exp_id=39bf3071-eca6-47a1-a6ed-4aaa61da980b-25&pdp_ext_f=%7B%22order%22:%2220%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!1388!1041!!!9.28!6.96!@212a70c117522965649062625ec4dc!12000024454580898!sea!JP!3531018041!X&curPageLogUid=CsoYQDIHraZC&utparam-url=scene:search%7Cquery_from:",1,1283,1283,Aliexpress
LTC3780 Buck Boost 10A,"https://ja.aliexpress.com/item/1005007384626696.html?algo_pvid=dbae1342-cafd-4f52-857e-a52e17b17145&algo_exp_id=dbae1342-cafd-4f52-857e-a52e17b17145-12&pdp_ext_f=%7B%22order%22:%22201%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!1036!1036!!!6.92!6.92!@212e532617520580150198711e996b!12000040523951670!sea!JP!3531018041!X&curPageLogUid=zwutRVhl1pq1&utparam-url=scene:search%7Cquery_from:",1,1036,1036,Aliexpress
2x 18650 lipo 3.6V 4000mAh,https://ja.aliexpress.com/item/1005006454038524.html?gatewayAdapt=glo2jpn,1,1021,1021,Aliexpress
10x LTC4412 (for power path),"https://ja.aliexpress.com/item/4000112160576.html?aem_p4p_detail=202507091936472746354496358980009851224&algo_pvid=4e020bae-30ea-48df-a805-3574f58d36dc&algo_exp_id=4e020bae-30ea-48df-a805-3574f58d36dc-1&pdp_ext_f=%7B%22order%22:%2212%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!251!206!!!1.68!1.38!@210141f717521150072251054e3a3d!12000041447032954!sea!JP!3531018041!X&curPageLogUid=1cjbgIyEIJdC&utparam-url=scene:search%7Cquery_from:&search_p4p_id=202507091936472746354496358980009851224_1",1,640,640,Aliexpress
25x25x7 Copper Heatsink + pad,"https://ja.aliexpress.com/item/1005005311492799.html?algo_pvid=eba94a24-a124-49c5-8324-69ec8df88774&algo_exp_id=eba94a24-a124-49c5-8324-69ec8df88774-3&pdp_ext_f=%7B%22order%22:%22298%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!366!366!!!2.45!2.45!@0b1bf20817523940939063296e7781!12000032586801113!sea!JP!3531018041!X&curPageLogUid=D9VCVipCxZe7&utparam-url=scene:search%7Cquery_from:",1,600,600,Aliexpress
10x IRF4905 P-MOSFET-55V -74A 0.02Ohms,"https://ja.aliexpress.com/item/1005007142611635.html?algo_pvid=c25b5a00-5202-4031-ad3c-4d166511591b&algo_exp_id=c25b5a00-5202-4031-ad3c-4d166511591b-9&pdp_ext_f=%7B%22order%22:%22164%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!759!493!!!36.44!23.69!@212e509017521155594251713e9d11!12000039560507128!sea!JP!3531018041!X&curPageLogUid=ZevF4TaebYNI&utparam-url=scene:search%7Cquery_from:",1,579,579,Aliexpress
