nohup: ignoring input
[0:01:36.290401525] [1253] [1;32m INFO [1;37mCamera [1;34mcamera_manager.cpp:326 [0mlibcamera v0.5.0+59-d83ff0a4
[0:01:36.444402358] [1263] [1;33m WARN [1;37mRPiSdn [1;34msdn.cpp:40 [0mUsing legacy SDN tuning - please consider moving SDN inside rpi.denoise
[0:01:36.453078191] [1263] [1;32m INFO [1;37mRPI [1;34mvc4.cpp:447 [0mRegistered camera /base/soc/i2c0mux/i2c@1/imx219@10 to Unicam device /dev/media0 and ISP device /dev/media1
[0:01:36.453290535] [1263] [1;32m INFO [1;37mRPI [1;34mpipeline_base.cpp:1121 [0mUsing configuration file '/usr/share/libcamera/pipeline/rpi/vc4/rpi_apps.yaml'
[0:01:36.481623504] [1253] [1;32m INFO [1;37mCamera [1;34mcamera.cpp:1205 [0mconfiguring streams: (0) 410x308-RGB888 (1) 640x480-SBGGR10_CSI2P
[0:01:36.482709754] [1263] [1;32m INFO [1;37mRPI [1;34mvc4.cpp:622 [0mSensor: /base/soc/i2c0mux/i2c@1/imx219@10 - Selected sensor format: 640x480-SBGGR10_1X10 - Selected unicam format: 640x480-pBAA
192.168.3.1 - - [04/Jul/2025 23:52:30] "GET / HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:52:30] "GET /static/js/index.js HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:52:41] "POST /upload_media HTTP/1.1" 403 -
192.168.3.1 - - [04/Jul/2025 23:53:37] "POST /upload_media HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:53:48] "POST /get_camera_capture HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:53:49] "POST /get_user_image HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:54:25] "POST /upload_media HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:54:27] "POST /upload_media HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:54:33] "POST /load_videos HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:54:33] "GET /get_camera_stream HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:54:41] "POST /start_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:54:55] "POST /stop_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:55:18] "POST /start_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:55:20] "POST /stop_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:55:35] "POST /start_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:56:00] "POST /stop_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:56:06] "POST /start_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:56:14] "POST /stop_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:56:19] "POST /start_eye_contact HTTP/1.1" 200 -
192.168.3.1 - - [04/Jul/2025 23:56:28] "POST /stop_eye_contact HTTP/1.1" 200 -
